Year,Month,Station,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SouthernLog10Biomass (mg/m3),NorthernLog10Biomass (mg/m3)
2010,2,NH05,0.387526994,-0.572318162,1.106355556,0.53765
2010,2,NH25,0.485895591,-0.147289947,1.0627,0.530666667
2010,3,NH05,0.208346331,0.042906173,0.801022222,1.373233333
2010,3,NH25,0.24448107,-0.651821914,0.815633333,0.306133333
2010,4,NH05,0.285764266,-0.766678189,0.822677778,0.701
2010,4,NH25,0.10740463,-0.932813194,0.607711111,0.186833333
2010,5,NH05,0.504768188,-0.175055357,0.887455556,1.520855556
2010,5,NH25,0.487050421,-0.202442172,0.987703704,1.001233333
2010,6,NH05,0.322618327,0.195110129,0.581127778,2.209833333
2010,6,NH25,0.222786998,0.18378287,0.681175,1.611316667
2010,7,NH05,0.083189808,0.211074722,0.313713889,2.479775
2010,7,NH25,0.113125253,0.294315404,0.416611111,2.356966667
2010,8,NH05,0.045197454,0.237718552,0.287262963,2.652488889
2010,8,NH25,-0.008693392,-0.365279924,0.364233333,1.49145
2010,9,NH05,-0.030970939,0.286695198,0.344691667,2.304791667
2010,9,NH25,-0.15261358,0.14331875,0.241433333,1.6967
2010,10,NH05,0.044025206,0.539623148,0.553666667,2.083216667
2010,10,NH25,-0.117677366,0.260640741,0.261822222,1.314433333
2010,11,NH05,-0.310175926,0.125461728,0.376288889,1.171616667
2010,11,NH25,-0.03245216,-0.157887037,0.408633333,0.7111
2011,1,NH05,-0.053566759,0.215643611,0.720383333,1.28195
2011,1,NH25,0.19712581,0.097879167,0.7256,0.672866667
2011,2,NH05,0.020276994,0.595298504,0.739105556,1.705266667
2011,2,NH25,-0.215059965,-0.166356614,0.361744444,0.5116
2011,3,NH05,-0.418487003,1.055839506,0.174188889,2.386166667
2011,4,NH05,-0.290963512,0.756505144,0.24595,2.224183333
2011,4,NH25,-0.273562037,0.425453472,0.226744444,1.5451
2011,5,NH05,-0.09475959,0.857122421,0.287927778,2.553033333
2011,5,NH25,-0.160097727,0.415591162,0.340555556,1.619266667
2011,6,NH05,-0.213339081,0.324910129,0.04517037,2.339633333
2011,6,NH25,-0.241754668,0.119966204,0.216633333,1.5475
2011,7,NH05,-0.102535192,0.451183056,0.127988889,2.719883333
2011,7,NH25,-0.16419697,0.356615404,0.139288889,2.419266667
2011,8,NH05,-0.182759954,-0.077103671,0.059305556,2.337666667
2011,8,NH25,-0.305660059,0.864853409,0.067266667,2.721583333
2011,9,NH05,-0.218922606,0.561010198,0.15674,2.579106667
2011,9,NH25,-0.170832099,0.436385417,0.223214815,1.989766667
2011,10,NH05,-0.050941461,0.136889815,0.4587,1.680483333
2011,10,NH25,0.000655967,0.070290741,0.380155556,1.124083333
2011,11,NH05,0.038546296,0.085678395,0.725011111,1.131833333
2011,12,NH05,-0.167687923,0.331603623,0.488311111,1.2919
2011,12,NH25,-0.092569231,0.223541026,0.423755556,0.918733333
2012,1,NH05,0.030905463,1.070260278,0.804855556,2.136566667
2012,1,NH25,-0.210185301,0.562879167,0.318288889,1.137866667
2012,2,NH05,-0.049661895,1.105565171,0.669166667,2.215533333
2012,3,NH05,-0.126125892,0.947639506,0.46655,2.277966667
2012,3,NH25,-0.073791152,-0.05158858,0.497361111,0.906366667
2012,4,NH05,0.060386488,0.052105144,0.5973,1.519783333
2012,4,NH25,0.055521296,-0.272613194,0.555827778,0.847033333
2012,5,NH05,-0.23170959,0.346366865,0.150977778,2.042277778
2012,5,NH25,-0.03029032,0.525768939,0.470362963,1.729444444
2012,6,NH05,-0.215124266,0.501532351,0.043385185,2.516255556
2012,6,NH25,0.17662311,-0.118583796,0.635011111,1.30895
2012,7,NH05,-0.174927784,0.439610833,0.055596296,2.708311111
2012,7,NH25,0.059530808,-0.868217929,0.363016667,1.194433333
2012,8,NH05,-0.182743287,0.411962996,0.059322222,2.826733333
2012,8,NH25,-0.105937837,0.497286742,0.266988889,2.354016667
2012,9,NH05,-0.231084828,0.19878131,0.144577778,2.216877778
2012,9,NH25,-0.115650617,-0.051636806,0.278396296,1.501744444
2012,10,NH05,-0.254835905,-0.090043519,0.254805556,1.45355
2012,10,NH25,0.003200412,-0.068775926,0.3827,0.985016667
2012,11,NH05,0.191051852,-0.247938272,0.877516667,0.798216667
2012,11,NH25,0.140670062,-0.01192037,0.581755556,0.857066667
2012,12,NH05,0.154723188,-0.11452971,0.810722222,0.845766667
2013,1,NH05,0.237261019,0.208426944,1.011211111,1.274733333
2013,1,NH25,-0.127463079,0.051579167,0.401011111,0.626566667
2013,2,NH05,-0.154806339,0.262831838,0.564022222,1.3728
2013,3,NH05,0.040321331,0.729614506,0.632997222,2.059941667
2013,3,NH25,0.132603292,0.647844753,0.703755556,1.6058
2013,4,NH05,-0.270609808,0.809288477,0.266303704,2.276966667
2013,4,NH25,-0.164589815,0.687553472,0.335716667,1.8072
2013,5,NH05,-0.346126257,0.753322421,0.036561111,2.449233333
2013,5,NH25,-0.343753283,0.941191162,0.1569,2.144866667
2013,6,NH05,-0.199679821,0.43302124,0.05882963,2.447744444
2013,6,NH25,-0.139499113,0.812699537,0.318888889,2.240233333
2013,7,NH05,-0.167601858,-0.116066944,0.062922222,2.152633333
2013,7,NH25,-0.232852525,0.171348737,0.070633333,2.234
2013,8,NH05,-0.242065509,0.228529663,0,2.6433
2013,8,NH25,-0.24722117,0.540420076,0.125705556,2.39715
2013,9,NH05,-0.161379272,0.020220198,0.214283333,2.038316667
2013,10,NH05,0.088258539,-0.054443519,0.5979,1.48915
2013,10,NH25,-0.008594033,-0.178992593,0.370905556,0.8748
2013,11,NH05,-0.251287037,0.314745062,0.435177778,1.3609
2013,11,NH25,0.002014506,0.24957963,0.4431,1.118566667
2013,12,NH05,0.130145411,-0.074063043,0.786144444,0.886233333
2013,12,NH25,-0.00195812,-0.290725641,0.514366667,0.404466667
2014,1,NH05,-0.622894537,0.322426944,0.151055556,1.388733333
2014,1,NH25,-0.206985301,0.728945833,0.321488889,1.303933333
2014,2,NH05,-0.417150783,0.641348504,0.301677778,1.751316667
2014,2,NH25,-0.369037743,0.290543386,0.207766667,0.9685
2014,3,NH05,-0.394309225,0.81767284,0.198366667,2.148
2014,4,NH05,-0.340785734,0.372421811,0.196127778,1.8401
2014,4,NH25,-0.156306481,0.268853472,0.344,1.3885
2014,5,NH05,0.059107077,0.614839087,0.441794444,2.31075
2014,5,NH25,-0.263708838,0.055524495,0.236944444,1.2592
