Year,Month,Transect,Station,Upper100mTemp
2003,7,Newport Hydrographic,NH03,9.164723722
2003,7,Newport Hydrographic,NH05,8.342850338
2003,7,Newport Hydrographic,NH10,8.423145171
2003,7,Newport Hydrographic,NH15,8.550045561
2003,7,Newport Hydrographic,NH20,9.225022593
2003,7,Newport Hydrographic,NH25,9.525861604
2003,8,Newport Hydrographic,NH01,8.079200003
2003,8,Newport Hydrographic,NH03,8.010524977
2003,8,Newport Hydrographic,NH05,8.432157277
2003,8,Newport Hydrographic,NH10,8.273449215
2003,8,Newport Hydrographic,NH15,7.904318915
2003,8,Newport Hydrographic,NH20,8.365396013
2003,8,Newport Hydrographic,NH25,8.06806098
2003,9,Newport Hydrographic,NH01,9.06237877
2003,9,Newport Hydrographic,NH03,8.478216608
2003,9,Newport Hydrographic,NH05,8.208832976
2003,9,Newport Hydrographic,NH10,8.270646328
2003,9,Newport Hydrographic,NH15,8.591678147
2003,9,Newport Hydrographic,NH20,8.739339768
2003,9,Newport Hydrographic,NH25,9.234293033
2003,10,Newport Hydrographic,NH01,13.42346177
2003,10,Newport Hydrographic,NH03,10.81196099
2003,10,Newport Hydrographic,NH05,10.80990108
2003,10,Newport Hydrographic,NH10,9.953662223
2003,10,Newport Hydrographic,NH15,9.991840749
2003,10,Newport Hydrographic,NH20,9.915531726
2003,10,Newport Hydrographic,NH25,10.97093261
2003,11,Newport Hydrographic,NH01,12.02092145
2003,11,Newport Hydrographic,NH03,11.58945888
2003,11,Newport Hydrographic,NH05,11.21037716
2003,11,Newport Hydrographic,NH10,10.45288007
2003,11,Newport Hydrographic,NH15,10.46089007
2003,11,Newport Hydrographic,NH20,9.739509992
2003,11,Newport Hydrographic,NH25,9.737882189
2004,1,Newport Hydrographic,NH01,10.34487895
2004,1,Newport Hydrographic,NH03,10.50207852
2004,1,Newport Hydrographic,NH05,10.57762412
2004,1,Newport Hydrographic,NH10,10.53110644
2004,1,Newport Hydrographic,NH15,10.70719582
2004,1,Newport Hydrographic,NH20,10.6430798
2004,1,Newport Hydrographic,NH25,10.88827041
2004,2,Newport Hydrographic,NH01,10.29500537
2004,2,Newport Hydrographic,NH03,10.37364449
2004,2,Newport Hydrographic,NH05,10.39315692
2004,2,Newport Hydrographic,NH10,10.47787062
2004,2,Newport Hydrographic,NH15,10.53060351
2004,2,Newport Hydrographic,NH20,10.58887452
2004,2,Newport Hydrographic,NH25,10.54873942
2004,3,Newport Hydrographic,NH01,10.54855995
2004,3,Newport Hydrographic,NH03,10.294553
2004,3,Newport Hydrographic,NH05,10.11459409
2004,3,Newport Hydrographic,NH10,10.09391791
2004,3,Newport Hydrographic,NH15,10.19078929
2004,3,Newport Hydrographic,NH20,10.02839979
2004,3,Newport Hydrographic,NH25,10.08184716
2004,4,Newport Hydrographic,NH01,9.774499953
2004,4,Newport Hydrographic,NH03,9.369353494
2004,4,Newport Hydrographic,NH05,9.413856058
2004,4,Newport Hydrographic,NH10,9.500227307
2004,4,Newport Hydrographic,NH15,10.07010277
2004,4,Newport Hydrographic,NH20,9.737273498
2004,4,Newport Hydrographic,NH25,9.997443861
2004,5,Newport Hydrographic,NH01,11.63345547
2004,5,Newport Hydrographic,NH03,10.5922136
2004,5,Newport Hydrographic,NH05,10.05403588
2004,5,Newport Hydrographic,NH10,9.124945245
2004,5,Newport Hydrographic,NH15,9.492473876
2004,5,Newport Hydrographic,NH20,9.688565778
2004,5,Newport Hydrographic,NH25,10.07950299
2004,6,Newport Hydrographic,NH01,12.16459761
2004,6,Newport Hydrographic,NH03,9.574584313
2004,6,Newport Hydrographic,NH05,9.237625511
2004,6,Newport Hydrographic,NH10,8.943882374
2004,6,Newport Hydrographic,NH15,9.100054945
2004,6,Newport Hydrographic,NH20,9.3779757
2004,6,Newport Hydrographic,NH25,9.688568899
2004,7,Newport Hydrographic,NH01,10.28700596
2004,7,Newport Hydrographic,NH03,9.125487734
2004,7,Newport Hydrographic,NH05,8.600960012
2004,7,Newport Hydrographic,NH10,8.67037327
2004,7,Newport Hydrographic,NH15,8.783644722
2004,7,Newport Hydrographic,NH20,9.417477141
2004,7,Newport Hydrographic,NH25,9.469713194
