"POSITION","YEAR","MONTH","BCUI","pos_bcui"
"45N 125W",1997,10,-13,0
"45N 125W",1998,10,-14,0
"45N 125W",1999,10,-2,0
"45N 125W",2000,10,-4,0
"45N 125W",2001,10,2,2
"45N 125W",2002,10,13,13
"45N 125W",2003,10,-16,0
"45N 125W",2004,10,2,2
"45N 125W",2005,10,-24,0
"45N 125W",2006,10,39,39
"45N 125W",2007,10,-9,0
"45N 125W",2008,10,0,0
"45N 125W",2009,10,-7,0
"45N 125W",2010,10,-12,0
"45N 125W",2011,10,-1,0
"45N 125W",2012,10,-10,0
"45N 125W",2013,10,13,13
"45N 125W",2014,10,-36,0
"45N 125W",2015,10,-3,0
"45N 125W",2016,10,-119,0
"45N 125W",2017,10,2,2
"45N 125W",2018,10,0,0
"45N 125W",2019,10,0,0
"45N 125W",2020,10,10,10
"45N 125W",2021,10,-39,0
"45N 125W",2022,10,4,4
"45N 125W",2023,10,-5,0
"45N 125W",1996,11,-18,0
"45N 125W",1997,11,-98,0
"45N 125W",1998,11,-159,0
"45N 125W",1999,11,-125,0
"45N 125W",2000,11,-39,0
"45N 125W",2001,11,-119,0
"45N 125W",2002,11,-115,0
"45N 125W",2003,11,-34,0
"45N 125W",2004,11,0,0
"45N 125W",2005,11,-12,0
"45N 125W",2006,11,-118,0
"45N 125W",2007,11,-1,0
"45N 125W",2008,11,-38,0
"45N 125W",2009,11,-114,0
"45N 125W",2010,11,-34,0
"45N 125W",2011,11,-39,0
"45N 125W",2012,11,-92,0
"45N 125W",2013,11,-10,0
"45N 125W",2014,11,-54,0
"45N 125W",2015,11,-10,0
"45N 125W",2016,11,-156,0
"45N 125W",2017,11,-128,0
"45N 125W",2018,11,-21,0
"45N 125W",2019,11,4,4
"45N 125W",2020,11,-43,0
"45N 125W",2021,11,-113,0
"45N 125W",2022,11,-28,0
"45N 125W",2023,11,-29,0
"45N 125W",1996,12,-91,0
"45N 125W",1997,12,-58,0
"45N 125W",1998,12,-53,0
"45N 125W",1999,12,-59,0
"45N 125W",2000,12,-82,0
"45N 125W",2001,12,-161,0
"45N 125W",2002,12,-221,0
"45N 125W",2003,12,-205,0
"45N 125W",2004,12,-16,0
"45N 125W",2005,12,-85,0
"45N 125W",2006,12,-69,0
"45N 125W",2007,12,-61,0
"45N 125W",2008,12,-19,0
"45N 125W",2009,12,-64,0
"45N 125W",2010,12,-172,0
"45N 125W",2011,12,2,2
"45N 125W",2012,12,-83,0
"45N 125W",2013,12,4,4
"45N 125W",2014,12,-85,0
"45N 125W",2015,12,-161,0
"45N 125W",2016,12,-8,0
"45N 125W",2017,12,-21,0
"45N 125W",2018,12,-113,0
"45N 125W",2019,12,-64,0
"45N 125W",2020,12,-97,0
"45N 125W",2021,12,-25,0
"45N 125W",2022,12,-76,0
