"","Taxa","phase","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","group","mode"
"41","Microgadus.proximus","L",3.04641086490357,3.1847056476729,0.119804951079457,-0.138294782769331,-4.20969318749844,"no_change","enso"
"42","Microgadus.proximus","N",3.25082961430429,3.1847056476729,0.119804951079457,0.066123966631388,2.01281354425945,"no_change","enso"
"43","Microstomus.pacificus","E",6.09809080140839,5.74720420566676,1.5254062086405,0.35088659574163,10.6809879743752,"earlier","enso"
"44","Microstomus.pacificus","L",7.06659302179926,5.74720420566676,1.5254062086405,1.3193888161325,40.1621955630734,"earlier","enso"
"45","Microstomus.pacificus","N",4.07692879379262,5.74720420566676,1.5254062086405,-1.67027541187413,-50.8431835374486,"earlier","enso"
"46","Nannobrachium.regale","E",5.79763246567188,5.85074038941631,0.478898387970009,-0.0531079237444301,-1.61660519878045,"no_change","enso"
"47","Nannobrachium.regale","L",6.35397907658077,5.85074038941631,0.478898387970009,0.503238687164457,15.3185856372861,"no_change","enso"
"48","Nannobrachium.regale","N",5.40060962599628,5.85074038941631,0.478898387970009,-0.450130763420026,-13.7019804385056,"no_change","enso"
"49","Ophiodon.elongatus","E",8.23041496553814,8.34515745140444,0.212773734257913,-0.114742485866296,-3.49276126977006,"no_change","enso"
"50","Ophiodon.elongatus","L",8.21438437886945,8.34515745140444,0.212773734257913,-0.130773072534989,-3.98073232796507,"no_change","enso"
"51","Ophiodon.elongatus","N",8.59067300980572,8.34515745140444,0.212773734257913,0.245515558401285,7.47349359773513,"no_change","enso"
"52","Parophrys.vetulus","E",7.51254742720842,7.5868629721597,0.222494219441606,-0.0743155449512791,-2.26216518831694,"no_change","enso"
"53","Parophrys.vetulus","L",7.41103816901265,7.5868629721597,0.222494219441606,-0.175824803147052,-5.35210700779625,"no_change","enso"
"54","Parophrys.vetulus","N",7.83700332025803,7.5868629721597,0.222494219441606,0.250140348098332,7.61427219611321,"no_change","enso"
"55","Platichthys.stellatus","E",3.15821552612343,3.22881366074502,0.24846519103608,-0.0705981346215956,-2.14900721788137,"no_change","enso"
"56","Platichthys.stellatus","L",3.02328731681863,3.22881366074502,0.24846519103608,-0.205526343926386,-6.2562219091192,"no_change","enso"
"57","Platichthys.stellatus","N",3.504938139293,3.22881366074502,0.24846519103608,0.276124478547982,8.40522912700057,"no_change","enso"
"58","Psettichthys.melanostictus","E",3.57589852309146,4.31552435951814,0.699955152861583,-0.739625836426688,-22.5142104608284,"no_change","enso"
"59","Psettichthys.melanostictus","L",4.40310965224973,4.31552435951814,0.699955152861583,0.0875852927315837,2.66609631074941,"no_change","enso"
"60","Psettichthys.melanostictus","N",4.96756490321325,4.31552435951814,0.699955152861583,0.652040543695105,19.848114150079,"no_change","enso"
"61","Ronquilus.jordani","E",3.20958103460059,3.40527112850385,0.173171399621327,-0.195690093903257,-5.95680645841515,"no_change","enso"
"62","Ronquilus.jordani","L",3.46751597871571,3.40527112850385,0.173171399621327,0.0622448502118615,1.89473324044907,"no_change","enso"
"63","Ronquilus.jordani","N",3.53871637219524,3.40527112850385,0.173171399621327,0.133445243691396,4.06207321796608,"no_change","enso"
"64","Ruscarius.meanyi","E",4.59570139466095,4.93019496217307,0.554917878599531,-0.334493567512116,-10.1819841950688,"no_change","enso"
"65","Ruscarius.meanyi","L",5.57074861462972,4.93019496217307,0.554917878599531,0.640553652456658,19.4984531807807,"no_change","enso"
"66","Ruscarius.meanyi","N",4.62413487722852,4.93019496217307,0.554917878599531,-0.306060084944542,-9.31646898571185,"no_change","enso"
"67","Scorpaenichthys.marmoratus","E",7.47848691343152,7.68837729569473,0.290043834448434,-0.20989038226321,-6.38906323609212,"no_change","enso"
"68","Scorpaenichthys.marmoratus","L",8.01934227904951,7.68837729569473,0.290043834448434,0.330964983354771,10.0745740933192,"no_change","enso"
"69","Scorpaenichthys.marmoratus","N",7.56730269460317,7.68837729569473,0.290043834448434,-0.121074601091561,-3.68551085722711,"no_change","enso"
"70","Stenobrachius.leucopsarus","E",3.16358859872144,4.27129913167225,0.962439053177696,-1.10771053295082,-33.7187086230229,"no_change","enso"
"71","Stenobrachius.leucopsarus","L",4.74755309355848,4.27129913167225,0.962439053177696,0.476253961886225,14.4971705998167,"no_change","enso"
"72","Stenobrachius.leucopsarus","N",4.90275570273685,4.27129913167225,0.962439053177696,0.631456571064593,19.2215380232062,"no_change","enso"
"73","Tarletonbeania.crenularis","E",6.82438697091096,6.24225444360848,0.530211112151207,0.58213252730248,17.7201141310875,"no_change","enso"
"74","Tarletonbeania.crenularis","L",6.1153987579994,6.24225444360848,0.530211112151207,-0.126855685609079,-3.86148706994036,"no_change","enso"
"75","Tarletonbeania.crenularis","N",5.78697760191508,6.24225444360848,0.530211112151207,-0.455276841693401,-13.8586270611471,"no_change","enso"
