"scientific_name","New_Decade","unshift_ct","ct_anomaly_months","ct_anomaly_days","group.5","group.3","season"
"Electrona risso","1975",2.87607170693687,1.65729892866214,50.4481793884757,"no_change","no_change","fall_winter"
"Electrona risso","1985",1.42968053889244,0.210907760617723,6.42003223320349,"no_change","no_change","fall_winter"
"Electrona risso","1995",0.392606152662889,-0.826166625611832,-25.1485120836242,"no_change","no_change","fall_winter"
"Electrona risso","2005",0.0967314853123709,-1.12204129296235,-34.154936957774,"no_change","no_change","fall_winter"
"Electrona risso","2015",1.94174503657262,0.722972258297901,22.0072755425881,"no_change","no_change","fall_winter"
"Engraulis mordax","1955",4.54525534058529,0.660466731751217,20.1046073145071,"no_change","no_change","spring_summer"
"Engraulis mordax","1965",3.71338965064148,-0.171398958192594,-5.21738428738255,"no_change","no_change","spring_summer"
"Engraulis mordax","1975",2.75558749025584,-1.12920111857823,-34.3728820495213,"no_change","no_change","spring_summer"
"Engraulis mordax","1985",3.51503600285959,-0.369752605974487,-11.2552693258634,"no_change","no_change","spring_summer"
"Engraulis mordax","1995",3.89435478321059,0.00956617437651319,0.291194348021062,"no_change","no_change","spring_summer"
"Engraulis mordax","2005",4.63875811536974,0.753969506535666,22.9508317789457,"no_change","no_change","spring_summer"
"Engraulis mordax","2015",4.13113887891599,0.246350270081915,7.49890222129348,"no_change","no_change","spring_summer"
"Girella nigricans","1955",4.97379310344828,-1.09889298873318,-33.450302577038,"later","later","spring_summer"
"Girella nigricans","1965",6.49293059125964,0.420244499078184,12.7922425519399,"later","later","spring_summer"
"Girella nigricans","1985",5.97155023274934,-0.101135859432116,-3.07857556111361,"later","later","spring_summer"
"Girella nigricans","1995",5.95149239005336,-0.121193702128092,-3.68913629277913,"later","later","spring_summer"
"Girella nigricans","2005",5.45635601261289,-0.616330079568566,-18.7610876220671,"later","later","spring_summer"
"Girella nigricans","2015",7.58999422296522,1.51730813078377,46.1868595010579,"later","later","spring_summer"
"Glyptocephalus zachirus","1955",5.41736694677871,-0.193093783957691,-5.87777478367211,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","1965",5.12794918330308,-0.482511547433318,-14.6876515038702,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","1975",6.24599480050581,0.635534069769409,19.3456570837808,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","1985",5.2874598464108,-0.323000884325603,-9.83214691887137,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","1995",6.30836918997315,0.697908459236752,21.2443334991667,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","2005",5.70266806275612,0.0922073320197176,2.80679118668021,"no_change","no_change","spring_summer"
"Glyptocephalus zachirus","2015",5.18341708542714,-0.427043645309267,-12.9992085632141,"no_change","no_change","spring_summer"
"Hippoglossina stomata","1965",10.546875,-0.0506429556775823,-1.5415715708256,"no_change","no_change","fall_winter"
"Hippoglossina stomata","1985",11.0410161054911,0.44349814981356,13.5000836803248,"no_change","no_change","fall_winter"
"Hippoglossina stomata","1995",9.25086699723467,-1.34665095844291,-40.9920551750023,"no_change","no_change","fall_winter"
"Hippoglossina stomata","2005",11.559602297237,0.962084341559454,29.2858473570698,"no_change","no_change","fall_winter"
"Hippoglossina stomata","2015",10.5892293784251,-0.00828857725251808,-0.25230429156665,"no_change","no_change","fall_winter"
"Hypsypops rubicundus","1955",7,-0.265510880461573,-8.08215120125028,"no_change","earlier","spring_summer"
"Hypsypops rubicundus","1965",8.52501795547043,1.25950707500886,38.3393953632697,"no_change","earlier","spring_summer"
"Hypsypops rubicundus","1995",6.74834437086093,-0.517166509600645,-15.7425485522436,"no_change","earlier","spring_summer"
"Hypsypops rubicundus","2005",7,-0.265510880461572,-8.08215120125025,"no_change","earlier","spring_summer"
"Hypsypops rubicundus","2015",7.0541920759765,-0.211318804485073,-6.43254440852561,"no_change","earlier","spring_summer"
"Icichthys lockingtoni","1955",5.5660555575546,1.15680007701969,35.2129943444794,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","1965",4.70304244111733,0.293786960582413,8.94287508012867,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","1975",4.90930594807839,0.500050467543478,15.2215362320235,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","1985",4.82914401265301,0.419888532118094,12.7814069176748,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","1995",4.25639227836345,-0.152863202171462,-4.6531558740993,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","2005",3.53617995005789,-0.873075530477024,-26.5764191477206,"earlier","earlier","spring_summer"
"Icichthys lockingtoni","2015",3.06466817591972,-1.34458730461519,-40.9292375524864,"earlier","earlier","spring_summer"
"Idiacanthus antrostomus","1955",7.69307313303063,-0.144243681566683,-4.39077766688984,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","1965",7.63909690259983,-0.198219911997484,-6.0338141212034,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","1975",6.65286672766087,-1.18445008693644,-36.0546606463452,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","1985",8.8172532215463,0.979936406948995,29.8292642275274,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","1995",8.26985501555896,0.432538200961651,13.1664628372727,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","2005",7.9809914954996,0.14367468090229,4.37345728666571,"no_change","no_change","spring_summer"
"Idiacanthus antrostomus","2015",7.80808120628498,-0.0292356083123284,-0.889931917027277,"no_change","no_change","spring_summer"
"Lampadena urophaos","1955",7.26552730304294,-0.570356176529091,-17.3616420135455,"no_change","no_change","spring_summer"
"Lampadena urophaos","1965",8.18100189035917,0.345118410787143,10.5054044243606,"no_change","no_change","spring_summer"
"Lampadena urophaos","1975",7,-0.835883479572026,-25.4442931181725,"no_change","no_change","spring_summer"
"Lampadena urophaos","1985",9.09039319010944,1.25450971053742,38.187275588759,"no_change","no_change","spring_summer"
"Lampadena urophaos","1995",8.69091975942497,0.85503627985294,26.0273043587235,"no_change","no_change","spring_summer"
"Lampadena urophaos","2005",7.24976455076286,-0.586118928809171,-17.8414601929512,"no_change","no_change","spring_summer"
"Lampadena urophaos","2015",7.37357766330481,-0.462305816267213,-14.072589047174,"no_change","no_change","spring_summer"
"Leuroglossus stilbius","1955",3.82139191649324,1.42323147660375,43.3231661478182,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","1965",1.92893994512927,-0.469220494760222,-14.2830718605012,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","1975",1.795197822536,-0.602962617353488,-18.3541820722402,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","1985",2.48096613245129,0.0828056925618075,2.52060528158142,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","1995",2.29761796635819,-0.100542473531299,-3.06051289429273,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","2005",2.26827657446375,-0.129883865425741,-3.95366486355956,"no_change","earlier","fall_winter"
"Leuroglossus stilbius","2015",2.19473272179468,-0.203427718094806,-6.1923397388059,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","1955",3.80608669672443,1.41029194665117,42.9292868560618,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","1965",2.19300970982487,-0.202785040248388,-6.17277662516094,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","1975",1.40870400432123,-0.987090745752019,-30.0470423006915,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","1985",2.51380400041925,0.118009250345995,3.5922015805321,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","1995",2.33643878680124,-0.0593559632720098,-1.80679552199998,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","2005",2.19802206151481,-0.197772688558445,-6.02020063971905,"no_change","earlier","fall_winter"
"Lipolagus ochotensis","2015",2.31449799090695,-0.0812967591663014,-2.47467334902222,"no_change","earlier","fall_winter"
"Lyopsetta exilis","1955",4.52277209697485,0.78640136773218,23.9380576337676,"no_change","no_change","spring_summer"
"Lyopsetta exilis","1965",3.23028982182458,-0.506080907418088,-15.4051028218066,"no_change","no_change","spring_summer"
"Lyopsetta exilis","1975",3.20094188994103,-0.535428839301639,-16.2984538683419,"no_change","no_change","spring_summer"
"Lyopsetta exilis","1985",3.54800121460862,-0.188369514634041,-5.73396802546021,"no_change","no_change","spring_summer"
"Lyopsetta exilis","1995",3.48084875164562,-0.255521977597044,-7.77808899805402,"no_change","no_change","spring_summer"
"Lyopsetta exilis","2005",4.27791362491526,0.541542895672592,16.4845657442737,"no_change","no_change","spring_summer"
"Lyopsetta exilis","2015",3.89382770478871,0.157456975546041,4.79299033562149,"no_change","no_change","spring_summer"
"Medialuna californiensis","1965",7.00606520090978,0.59469843143876,18.1026202529959,"no_change","earlier","spring_summer"
"Medialuna californiensis","1975",7,0.588633230528981,17.9179955373022,"no_change","earlier","spring_summer"
"Medialuna californiensis","1985",5,-1.41136676947102,-42.9620044626978,"no_change","earlier","spring_summer"
"Medialuna californiensis","1995",7.2873055567516,0.875938787280583,26.6635766848209,"no_change","earlier","spring_summer"
"Medialuna californiensis","2005",7,0.588633230528981,17.9179955373022,"no_change","earlier","spring_summer"
"Medialuna californiensis","2015",5.17482985916473,-1.23653691030628,-37.6401835497233,"no_change","earlier","spring_summer"
"Merluccius productus","1955",3.8100383707145,1.72996335466125,52.6600845158884,"earlier","earlier","fall_winter"
"Merluccius productus","1965",1.81430174410063,-0.265773271952627,-8.09013839823796,"earlier","earlier","fall_winter"
"Merluccius productus","1975",1.65111878522726,-0.428956230825998,-13.0574276663434,"earlier","earlier","fall_winter"
"Merluccius productus","1985",1.73585783802942,-0.344217178023838,-10.4779708990456,"earlier","earlier","fall_winter"
"Merluccius productus","1995",1.82917235319652,-0.25090266285674,-7.63747705735917,"earlier","earlier","fall_winter"
"Merluccius productus","2005",1.99070052187662,-0.0893744941766323,-2.72055960273669,"earlier","earlier","fall_winter"
