"","scientific_name","phase","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","group","mode"
"41","Girella nigricans","La Nina",3.96658516707416,6.07794482313437,2.01497233793591,-2.1113596560602,-64.2697879304725,"later","enso"
"42","Girella nigricans","Neutral",6.28702331362837,6.07794482313437,2.01497233793591,0.209078490494004,6.36434925063747,"later","enso"
"43","Glyptocephalus zachirus","El Nino",5.82781485357174,5.43791421163203,0.605417422250885,0.38990064193971,11.8685755406448,"no_change","enso"
"44","Glyptocephalus zachirus","La Nina",4.74045680391995,5.43791421163203,0.605417422250885,-0.697457407712079,-21.2306034907557,"no_change","enso"
"45","Glyptocephalus zachirus","Neutral",5.7454709774044,5.43791421163203,0.605417422250885,0.30755676577237,9.36202795011094,"no_change","enso"
"46","Hippoglossina stomata","El Nino",4.50117442642549,4.45172406462519,0.187414875993178,0.0494503618002966,1.50526901320103,"no_change","enso"
"47","Hippoglossina stomata","La Nina",4.60945526764159,4.45172406462519,0.187414875993178,0.157731203016401,4.80133781981925,"no_change","enso"
"48","Hippoglossina stomata","Neutral",4.24454249980849,4.45172406462519,0.187414875993178,-0.207181564816697,-6.30660683302025,"no_change","enso"
"49","Hypsypops rubicundus","El Nino",7.68820968483662,7.39065078926444,0.305344273064089,0.297558895572185,9.05769278121731,"earlier","enso"
"50","Hypsypops rubicundus","La Nina",7.40566741237882,7.39065078926444,0.305344273064089,0.0150166231143833,0.457106007601829,"earlier","enso"
"51","Hypsypops rubicundus","Neutral",7.07807527057787,7.39065078926444,0.305344273064089,-0.312575518686567,-9.51479878881911,"earlier","enso"
"52","Icichthys lockingtoni","El Nino",4.3358142781775,4.56289275760935,0.220943487593944,-0.227078479431852,-6.91226891390558,"earlier","enso"
"53","Icichthys lockingtoni","La Nina",4.57572178014567,4.56289275760935,0.220943487593944,0.0128290225363177,0.39051544600551,"earlier","enso"
"54","Icichthys lockingtoni","Neutral",4.77714221450489,4.56289275760935,0.220943487593944,0.214249456895534,6.52175346790007,"earlier","enso"
"55","Idiacanthus antrostomus","El Nino",8.48326556143088,8.09109719540571,0.352102449482724,0.392168366025178,11.9376050618064,"no_change","enso"
"56","Idiacanthus antrostomus","La Nina",7.98790603930359,8.09109719540571,0.352102449482724,-0.103191156102114,-3.14113879174836,"no_change","enso"
"57","Idiacanthus antrostomus","Neutral",7.80211998548264,8.09109719540571,0.352102449482724,-0.288977209923065,-8.79646627005809,"no_change","enso"
"58","Lampadena urophaos","El Nino",7.78920484345427,7.85342159141622,0.444515212719178,-0.0642167479619511,-1.95475780796179,"no_change","enso"
"59","Lampadena urophaos","La Nina",8.32655256266367,7.85342159141622,0.444515212719178,0.473130971247453,14.4021067647725,"no_change","enso"
"60","Lampadena urophaos","Neutral",7.44450736813072,7.85342159141622,0.444515212719178,-0.408914223285502,-12.4473489568107,"no_change","enso"
"61","Leuroglossus stilbius","El Nino",8.32426938477054,8.32107891790275,0.296228913759877,0.00319046686779778,0.0971178114557645,"earlier","enso"
"62","Leuroglossus stilbius","La Nina",8.02326765681634,8.32107891790275,0.296228913759877,-0.297811261086405,-9.06537478747017,"earlier","enso"
"63","Leuroglossus stilbius","Neutral",8.61569971212135,8.32107891790275,0.296228913759877,0.294620794218609,8.96825697601446,"earlier","enso"
"64","Lipolagus ochotensis","El Nino",8.22391229937278,8.28048200770038,0.050066294967977,-0.0565697083276024,-1.72198192149222,"earlier","enso"
"65","Lipolagus ochotensis","La Nina",8.3190884395836,8.28048200770038,0.050066294967977,0.0386064318832169,1.17517978652512,"earlier","enso"
"66","Lipolagus ochotensis","Neutral",8.29844528414477,8.28048200770038,0.050066294967977,0.0179632764443873,0.54680213496715,"earlier","enso"
"67","Lyopsetta exilis","El Nino",4.09352414189155,3.90333482927807,0.301755554842187,0.190189312613479,5.7893626759543,"no_change","enso"
"68","Lyopsetta exilis","La Nina",3.55540142217584,3.90333482927807,0.301755554842187,-0.347933407102232,-10.5910929121919,"no_change","enso"
"69","Lyopsetta exilis","Neutral",4.06107892376682,3.90333482927807,0.301755554842187,0.157744094488753,4.80173023623765,"no_change","enso"
"70","Medialuna californiensis","El Nino",5.17550035011126,6.0575568347788,0.764929412082589,-0.882056484667543,-26.84979939328,"earlier","enso"
"71","Medialuna californiensis","La Nina",6.45859415488054,6.0575568347788,0.764929412082589,0.401037320101741,12.207576023897,"earlier","enso"
"72","Medialuna californiensis","Neutral",6.5385759993446,6.0575568347788,0.764929412082589,0.481019164565802,14.642223369383,"earlier","enso"
"73","Merluccius productus","El Nino",7.81703543977569,7.82690640798361,0.196863953445383,-0.00987096820791944,-0.300472272249068,"earlier","enso"
"74","Merluccius productus","La Nina",7.63516362903818,7.82690640798361,0.196863953445383,-0.191742778945429,-5.83665019109885,"earlier","enso"
"75","Merluccius productus","Neutral",8.02852015513696,7.82690640798361,0.196863953445383,0.201613747153348,6.13712246334792,"earlier","enso"
"76","Microstomus pacificus","El Nino",5.39783896367736,5.27722075560035,0.192786266926264,0.120618208077016,3.67161825386438,"earlier","enso"
"77","Microstomus pacificus","La Nina",5.05487776428642,5.27722075560035,0.192786266926264,-0.222342991313923,-6.76812065559581,"earlier","enso"
"78","Microstomus pacificus","Neutral",5.37894553883725,5.27722075560035,0.192786266926264,0.101724783236906,3.09650240173143,"earlier","enso"
"79","Nansenia candida","El Nino",5.07954676298028,4.58974577319114,0.427800178854512,0.489800989789138,14.9095421291813,"earlier","enso"
"80","Nansenia candida","La Nina",4.40038117505838,4.58974577319114,0.427800178854512,-0.189364598132762,-5.76425836716128,"earlier","enso"
"81","Nansenia candida","Neutral",4.28930938153476,4.58974577319114,0.427800178854512,-0.300436391656376,-9.14528376202009,"earlier","enso"
"82","Notolychnus valdiviae","El Nino",6.03635541779672,5.95429502616809,0.444703107216037,0.0820603916286258,2.49791832117537,"earlier","enso"
"83","Notolychnus valdiviae","La Nina",5.47427687760119,5.95429502616809,0.444703107216037,-0.480018148566909,-14.6117524423767,"earlier","enso"
"84","Notolychnus valdiviae","Neutral",6.35225278310638,5.95429502616809,0.444703107216037,0.397957756938284,12.1138341212014,"earlier","enso"
"85","Notoscopelus resplendens","El Nino",6.14869452348859,5.65120776147564,0.692782018536951,0.497486762012949,15.1434970356742,"no_change","enso"
"86","Notoscopelus resplendens","La Nina",4.85994514908236,5.65120776147564,0.692782018536951,-0.791262612393286,-24.0860339212516,"no_change","enso"
"87","Notoscopelus resplendens","Neutral",5.94498361185598,5.65120776147564,0.692782018536951,0.293775850380336,8.94253688557743,"no_change","enso"
"88","Oxylebius pictus","El Nino",7.94296623737212,8.14863881230059,0.178292642120269,-0.205672574928475,-6.26067318082279,"no_change","enso"
"89","Oxylebius pictus","La Nina",8.24357825381571,8.14863881230059,0.178292642120269,0.0949394415151126,2.88995659972003,"no_change","enso"
"90","Oxylebius pictus","Neutral",8.25937194571396,8.14863881230059,0.178292642120269,0.110733133413364,3.37071658110279,"no_change","enso"
"91","Paralichthys californicus","El Nino",4.42170672263128,4.76660946351808,0.328874185881286,-0.344902740886799,-10.4988394325942,"later","enso"
"92","Paralichthys californicus","La Nina",5.07668279672782,4.76660946351808,0.328874185881286,0.310073333209736,9.43863226290437,"later","enso"
"93","Paralichthys californicus","Neutral",4.80143887119515,4.76660946351808,0.328874185881286,0.0348294076770621,1.06020716968977,"later","enso"
"94","Parophrys vetulus","El Nino",3.21405591847002,3.20980215915923,0.0500428246928219,0.00425375931079275,0.129484433420531,"no_change","enso"
"95","Parophrys vetulus","La Nina",3.15776823138405,3.20980215915923,0.0500428246928219,-0.0520339277751849,-1.58391276147663,"no_change","enso"
"96","Parophrys vetulus","Neutral",3.25758232762362,3.20980215915923,0.0500428246928219,0.0477801684643921,1.4544283280561,"no_change","enso"
"97","Peprilus simillimus","El Nino",5.83710947638355,6.56738767391896,0.645808137523543,-0.730278197535412,-22.2296683329779,"later","enso"
"98","Peprilus simillimus","La Nina",7.06324963275694,6.56738767391896,0.645808137523543,0.495861958837971,15.0940380270278,"later","enso"
"99","Peprilus simillimus","Neutral",6.80180391261641,6.56738767391896,0.645808137523543,0.234416238697441,7.1356303059501,"later","enso"
"100","Pleuronichthys coenosus","El Nino",6.13353598616913,5.79660332375619,0.407171054886831,0.336932662412941,10.2562302438499,"no_change","enso"
"101","Pleuronichthys coenosus","La Nina",5.91211860055832,5.79660332375619,0.407171054886831,0.115515276802131,3.51628502585686,"no_change","enso"
"102","Pleuronichthys coenosus","Neutral",5.34415538454112,5.79660332375619,0.407171054886831,-0.45244793921507,-13.7725152697067,"no_change","enso"
"103","Pleuronichthys decurrens","El Nino",7.86971256556915,6.91748636771302,1.7898554366651,0.952226197856131,28.9857654627406,"no_change","enso"
"104","Pleuronichthys decurrens","La Nina",4.85281057400488,6.91748636771302,1.7898554366651,-2.06467579370814,-62.8487311604759,"no_change","enso"
"105","Pleuronichthys decurrens","Neutral",8.02993596356503,6.91748636771302,1.7898554366651,1.11244959585201,33.8629656977353,"no_change","enso"
"106","Pleuronichthys verticalis","El Nino",6.32433865355153,5.61547513717687,0.849320950792749,0.708863516374659,21.5778054384446,"later","enso"
"107","Pleuronichthys verticalis","La Nina",4.67411879795701,5.61547513717687,0.849320950792749,-0.941356339219862,-28.6548869658526,"later","enso"
"108","Pleuronichthys verticalis","Neutral",5.84796796002207,5.61547513717687,0.849320950792749,0.232492822845202,7.07708152740796,"later","enso"
"109","Protomyctophum crockeri","El Nino",6.38047738226424,6.79561992437282,0.496067204454187,-0.415142542108588,-12.6369389817854,"no_change","enso"
"110","Protomyctophum crockeri","La Nina",7.3449881726427,6.79561992437282,0.496067204454187,0.549368248269873,16.7227694773349,"no_change","enso"
"111","Protomyctophum crockeri","Neutral",6.66139421821154,6.79561992437282,0.496067204454187,-0.134225706161285,-4.08583049554951,"no_change","enso"
"112","Pseudobathylagus milleri","El Nino",8.38106368042367,7.98783949604469,0.404904502383998,0.393224184378984,11.9697441724963,"no_change","enso"
"113","Pseudobathylagus milleri","La Nina",7.5721869699955,7.98783949604469,0.404904502383998,-0.415652526049191,-12.6524628929374,"no_change","enso"
"114","Pseudobathylagus milleri","Neutral",8.0102678377149,7.98783949604469,0.404904502383998,0.0224283416702074,0.682718720441112,"no_change","enso"
"115","Sardinops sagax","El Nino",4.31847306094266,4.24518618159621,0.175119502903981,0.0732868793464503,2.23085260730595,"no_change","enso"
"116","Sardinops sagax","La Nina",4.04532933780407,4.24518618159621,0.175119502903981,-0.199856843792132,-6.08364232503249,"no_change","enso"
"117","Sardinops sagax","Neutral",4.37175614604189,4.24518618159621,0.175119502903981,0.126569964445681,3.85278971772652,"no_change","enso"
"118","Scomber japonicus","El Nino",5.21351828870535,6.0507987597479,0.761294126576759,-0.837280471042552,-25.4868175385353,"earlier","enso"
"119","Scomber japonicus","La Nina",6.70136529125207,6.0507987597479,0.761294126576759,0.650566531504164,19.8032452189867,"earlier","enso"
"120","Scomber japonicus","Neutral",6.23751269928629,6.0507987597479,0.761294126576759,0.186713939538389,5.68357231954858,"earlier","enso"
"121","Scorpaenichthys marmoratus","El Nino",7.13263024774625,7.1856652479624,0.100494972631362,-0.053035000216151,-1.61438540657964,"earlier","enso"
"122","Scorpaenichthys marmoratus","La Nina",7.12279759220983,7.1856652479624,0.100494972631362,-0.0628676557525747,-1.91369144110837,"earlier","enso"
"123","Scorpaenichthys marmoratus","Neutral",7.30156790393113,7.1856652479624,0.100494972631362,0.115902655968727,3.52807684768804,"earlier","enso"
"124","Sebastes aurora","El Nino",3.47735984702503,3.67690229483957,0.274328142249273,-0.199542447814544,-6.07407211147471,"earlier","enso"
"125","Sebastes aurora","La Nina",3.56361709835527,3.67690229483957,0.274328142249273,-0.113285196484305,-3.44840138098223,"earlier","enso"
"126","Sebastes aurora","Neutral",3.98972993913842,3.67690229483957,0.274328142249273,0.312827644298849,9.52247349245696,"earlier","enso"
"127","Sebastes diploproa","El Nino",6.62706843245483,6.8513763515628,0.194880548353213,-0.22430791910797,-6.8279330576466,"no_change","enso"
"128","Sebastes diploproa","La Nina",6.97911543849959,6.8513763515628,0.194880548353213,0.127739086936794,3.888377806356,"no_change","enso"
"129","Sebastes diploproa","Neutral",6.94794518373397,6.8513763515628,0.194880548353213,0.0965688321711768,2.93955525129062,"no_change","enso"
"130","Sebastes goodei","El Nino",7.36329116456025,7.29125043183927,0.130605200250332,0.0720407327209811,2.19291990402666,"no_change","enso"
"131","Sebastes goodei","La Nina",7.1404898460516,7.29125043183927,0.130605200250332,-0.15076058578767,-4.58915223137667,"no_change","enso"
"132","Sebastes goodei","Neutral",7.36997028490596,7.29125043183927,0.130605200250332,0.0787198530666897,2.39623232735003,"no_change","enso"
